"Table A7.  U.S. Holdings of Foreign Short-Term Debt Securities by Country and Currency"
"As of End-December 2020"
"Millions of dollars"
"","","","","Japanese","U.K.","Own"
"Country or region of issuer","Total","U.S. dollar","Euro","yen","pound","currency"
"Argentina",630,0,0,0,0,630
"Australia",24889,24005,0,0,0,716
"Austria",194,194,0,0,0,0
"Bahamas",82,82,0,0,0,0
"Belgium",1689,471,1218,0,0,1218
"Bermuda","*","*",0,0,0,0
"Brazil",277,277,0,0,0,0
"British Virgin Islands",95,86,0,0,0,86
"Canada",72188,57334,2,0,4,14846
"Cayman Islands",7285,7284,0,0,0,0
"Chile",376,270,0,0,0,105
"China, mainland (1)",1630,746,0,0,0,883
"Curacao",81,80,1,0,0,0
"Denmark",2533,2473,0,0,0,60
"Egypt",1224,0,0,0,0,1224
"Finland",2160,1404,756,0,0,756
"France",32331,28080,4241,0,"*",4241
"Georgia",30,0,0,0,0,30
"Germany",20376,18816,1560,0,0,1560
"Greece",67,0,67,0,0,67
"Guernsey",3,3,0,0,0,0
"Hong Kong",1061,1026,0,0,0,34
"Hungary",253,253,0,0,0,0
"India",45,45,0,0,0,0
"Ireland",10231,10196,34,0,0,34
"Israel",59,36,0,0,0,22
"Italy",278,0,278,0,0,278
"Japan",101514,7504,245,93686,0,93686
"Jersey",1118,958,0,0,160,159
"Korea, South",937,728,0,0,0,185
"Kuwait",112,112,0,0,0,0
"Luxembourg",4524,4407,102,0,1,102
"Macau",192,192,0,0,0,0
"Mexico",1263,"*",0,0,0,1263
"Mongolia","*","*",0,0,0,0
"Netherlands",8826,7263,1498,"*",0,1498
"New Zealand",4328,4198,0,0,0,130
"Norway",4517,4513,0,0,0,4
"Oman",26,26,0,0,0,0
"Pakistan",1,0,0,0,0,1
"Panama","*","*",0,0,0,0
"Portugal",133,0,133,0,0,133
"Qatar",676,676,0,0,0,0
"Singapore",21725,19787,0,0,0,1937
"South Africa",44,0,0,0,0,44
"Spain",1959,537,1422,0,0,1422
"Sweden",13822,12764,10,0,0,1047
"Switzerland",1126,1114,9,0,0,3
"Tunisia","*","*",0,0,0,0
"Turkey",1,0,0,0,0,1
"Ukraine",3,0,0,0,0,3
"United Arab Emirates",788,298,0,0,0,491
"United Kingdom",40380,38904,166,1,1250,1250
"Uruguay",26,0,0,0,0,26
"Venezuela",25,25,0,0,0,0
"Vietnam",26,26,0,0,0,0
"International organizations",10825,10521,153,0,73,0
""
"Total",398980,267712,11896,93687,1487,130177
""
"Totals by region:"
"Total Africa",1268,"*",0,0,0,1268
"Total Asia",128792,31200,245,93686,0,97240
"Total Caribbean",7543,7531,1,0,0,86
"Total Europe",146551,132351,11495,1,1410,13868
"Of which: Euro area countries (3)",82767,71368,11310,"*",1,11310
"Total Latin America",2596,572,0,0,0,2024
"Canada",72188,57334,2,0,4,14846
"Total other countries",29217,28202,"*",0,"*",846
"International organizations",10825,10521,153,0,73,0
""
"1. Amounts in each row of this table may","not sum to th","e total amoun","t, because U.","S. holdings w","ill in some c","ases be"
"counted in two columns. For example,","U.S. holdings","of French de","bt securities","denominated","in euros will","be"
"counted under both the euro column an","d the own cur","rency column","in the first","row of the ta","ble. In addit","ion,"
"the table does not show holdings deno","minated in cu","rrencies othe","r than the U.","S. dollar, eu","ro, yen, U.K."
"pound, and the country's own currency","."
""
""
""
