"Table A8.  U.S. Holdings of Foreign Long-Term Debt Securities by Country and Security Type"
"As of End-December 2020"
"Millions of dollars"
"",""
"Country or region of issuer","Total","Straight debt","Zero-coupon","Convertible","Asset-backed"
"Albania",232,90,142,0,0
"Angola",2159,2159,0,0,0
"Argentina",15472,14416,357,346,353
"Armenia",227,227,0,0,0
"Aruba",191,191,0,0,0
"Australia",125662,121058,212,2237,2154
"Austria",12173,11665,273,235,0
"Azerbaijan",1508,1508,0,0,0
"Bahamas",2349,1591,172,50,536
"Bahrain",2808,2808,0,0,0
"Barbados",2638,1632,0,0,1006
"Belarus",799,799,0,0,0
"Belgium",8827,8755,0,63,8
"Belize",52,52,0,0,0
"Benin",125,125,0,0,0
"Bermuda",43543,34609,1054,1908,5972
"Bonaire, Saint Eustatius & Saba (2)",56,56,0,0,0
"Bolivia",106,106,0,0,0
"Bosnia and Herzegovina",32,32,0,0,0
"Brazil",23259,17919,5038,300,3
"British Virgin Islands",14527,13773,37,203,514
"Bulgaria",310,310,0,0,0
"Cameroon",269,269,0,0,0
"Canada",412247,382135,10869,4881,14363
"Cayman Islands",531267,81888,7955,8161,433263
"Chile",26986,26504,1,0,481
"China, mainland (1)",33850,33751,4,95,0
"Colombia",25722,25488,"*",220,14
"Congo (Brazzaville)",78,78,0,0,0
"Costa Rica",1640,1625,6,0,9
"Cote D'Ivoire",2259,2259,0,0,0
"Croatia",1563,1563,0,0,0
"Curacao",2089,1641,276,172,0
"Cyprus",1072,1069,0,4,0
"Czech Republic",1998,1998,0,0,0
"Denmark",16162,16076,74,12,0
"Dominican Republic",6882,6882,0,0,0
"Ecuador",2371,2329,42,0,0
"Egypt",7222,7222,0,0,0
"El Salvador",1431,1429,0,0,2
"Estonia",3,3,0,0,0
"Ethiopia",228,224,4,0,0
"Faroe Islands",482,482,0,0,0
"Finland",11284,10723,562,"*",0
"France",187337,171406,12083,3792,56
"Gabon",681,681,0,0,0
"Georgia",495,490,0,6,0
"Germany",92689,65931,25345,1122,291
"Ghana",3351,3351,0,0,0
"Gibraltar",75,75,0,0,0
"Greece",4373,3929,339,0,105
"Greenland",213,213,0,0,0
"Grenada",35,35,0,0,0
"Guatemala",1294,1294,0,0,0
"Guernsey",11002,10947,13,13,29
"Honduras",479,479,0,0,0
"Hong Kong",7129,7018,23,88,0
"Hungary",5688,5688,0,0,0
"Iceland",2041,1589,452,0,0
